RQ1,,,,,,,,,,,,,,,,,,,,,
Theme,Code,Frequency,Remarks,Meaning Unit,,,,,,,,,,,,,,,,,
Individual workplace changes,Attention to operations,2,Individual software practitioners’ capability of having a big picture of all the operations in an organization or project.,If I’m doing a assigned the task in the group project I will consider more about what my changes or after it or modification of this part of code might have any any impact or effects to the other parts of the code itself.,,,,,,,,,,,,,,,,,
5,,,,"I do care more about what’s going on at the moment, also pay attention to the progress of the whole team.",,,,,,,,,,,,,,,,,
,Orietntation in the present,5,Individual’s attention to their immediate situation and their actual surroundings,"I notice that I can zone out sometimes like I do when listening to someone or just working on something, but I think that might have improved slightly. I notice that I don't zone out quite as often.",,,,,,,,,,,,,,,,,
,,,,"I think I was more conscious about what I was doing. So when handling the tasks in hand, I felt I was more engaged, and I became better organized, because if you only have one thing at a time, then you can complete it and avoid the hassle caused by multitasking. 
",,,,,,,,,,,,,,,,,
,,,,"I tried to gauge the mindful concept in my work, and I try to focus on at the moment and because I sometimes used to be unconsciously do things that I was not intended to do, but the mindful relaxation taught me to just focus on what I have in hand.",,,,,,,,,,,,,,,,,
,,,,"Pay attention to things and just focus on what's happening at the moment, even though the past was eventful, the future is bright. You still need to bury your head into your current work.",,,,,,,,,,,,,,,,,
,,,,"I no longer wander away while listening to others, even though there is a more important issue going on. ",,,,,,,,,,,,,,,,,
,Creativity,4,"The tendency to generate or recognize ideas, alternatives, or possibilities that may be useful in solving problems, communicating with others, and entertaining ourselves and others.","Another difference is more space for creativity, because I always need time to come up with new ideas, the new design, modeling the system, drawing up the UML diagram when doing this I really need not only time but also focus on where the problem is. So I think I've became better in creating new things.",,,,,,,,,,,,,,,,,
,,,,So after I took some meditation of mindful relaxation and I did feel my mind is becoming more active and I can bring some ideas there’s a good originality. ,,,,,,,,,,,,,,,,,
,,,,"There is a feeling like I can bring some high quality ideas or bullet points that match the requirements of the project, after I took the mindful relaxation.",,,,,,,,,,,,,,,,,
,,,,"However, I do believe the ability to focus helped me to come up with more idea.
",,,,,,,,,,,,,,,,,
,Efficiency,2,Self-perceived efficiency.,I think before I sometimes are idle handed but the mindful relaxation makes me tend to cherish all the hours and every minute I have at work and in life. I used to waste a lot of time implementing unnecessary things for the MVP or just doing useless work but now I tend to make my goals clearer,,,,,,,,,,,,,,,,,
